0.037455,0.14239,0.062919,-0.20471,0.21364,0.23268,-0.046249,0.093532,0.20907,0.23435,0.34169,0.13814
0.04921,0.17251,0.12726,-0.13396,0.2245,0.30584,0.071494,0.18308,0.2271,0.27601,0.41076,0.18166
0.061207,0.20305,0.19224,-0.064465,0.23593,0.37778,0.19484,0.27306,0.2438,0.31563,0.48064,0.22586
0.073506,0.23384,0.25776,0.0022269,0.24809,0.44697,0.32655,0.36283,0.25794,0.35134,0.55093,0.27068
0.085714,0.26385,0.32226,0.064044,0.26047,0.51094,0.46436,0.45015,0.26853,0.38133,0.61948,0.31501
0.096987,0.29123,0.38278,0.11851,0.27189,0.56635,0.60091,0.53116,0.27483,0.40399,0.68251,0.35664
0.1062,0.31363,0.43554,0.16316,0.28075,0.60952,0.72554,0.60095,0.27646,0.41809,0.73534,0.39266
0.1122,0.32877,0.47682,0.19597,0.28541,0.63724,0.82717,0.65459,0.2734,0.42299,0.77349,0.42006
0.11411,0.33498,0.50389,0.21587,0.28461,0.64751,0.89723,0.68821,0.26596,0.41874,0.79379,0.43642
0.11152,0.3316,0.51565,0.22295,0.27776,0.64017,0.93159,0.69993,0.25472,0.40609,0.79515,0.44044
0.11243,0.32558,0.50527,0.21581,0.27235,0.62301,0.92236,0.68523,0.24708,0.39635,0.78015,0.4342
0.10954,0.31206,0.48271,0.19941,0.262,0.59329,0.88366,0.65211,0.23724,0.38119,0.75038,0.41711
0.10381,0.29328,0.45143,0.17667,0.24808,0.55519,0.82345,0.60532,0.22594,0.36234,0.70998,0.39163
0.096351,0.27169,0.41522,0.15067,0.23212,0.51292,0.75043,0.55047,0.21379,0.34127,0.66334,0.36076
0.088243,0.24949,0.37754,0.1242,0.2155,0.46999,0.67245,0.49312,0.20119,0.31909,0.61426,0.32752
0.080381,0.22832,0.341,0.099389,0.19927,0.42878,0.59546,0.43784,0.18838,0.29648,0.56552,0.29446
0.073369,0.20907,0.30719,0.077544,0.18406,0.39054,0.52332,0.38772,0.17546,0.27378,0.51872,0.26342
0.067497,0.19199,0.2768,0.059161,0.17012,0.35559,0.45801,0.34421,0.16253,0.2512,0.47455,0.23543
0.062769,0.17686,0.24992,0.044173,0.15748,0.32384,0.40035,0.30746,0.14973,0.22899,0.43323,0.21087
0.058981,0.16334,0.22639,0.032269,0.14603,0.29513,0.35067,0.27685,0.13728,0.20759,0.39495,0.18971
0.055827,0.15119,0.20616,0.023197,0.13574,0.26957,0.30928,0.25157,0.12551,0.18762,0.36024,0.17182
0.053004,0.14045,0.18936,0.016932,0.12663,0.24754,0.27674,0.23113,0.11479,0.16988,0.32998,0.15718
0.05031,0.13144,0.17636,0.01369,0.11887,0.2297,0.25376,0.2155,0.1055,0.15517,0.30534,0.14594
0.0477,0.12461,0.16755,0.013781,0.1127,0.21671,0.24086,0.20503,0.097989,0.14415,0.28737,0.13838
0.045309,0.12035,0.16322,0.017394,0.10833,0.20904,0.2381,0.20017,0.0925,0.13725,0.27668,0.13476
0.043416,0.11881,0.16333,0.024401,0.1059,0.20679,0.24473,0.20109,0.089133,0.13458,0.2732,0.1351
0.042371,0.1198,0.16741,0.034244,0.10534,0.20955,0.25912,0.20742,0.087811,0.13585,0.276,0.13907
0.042488,0.12275,0.17456,0.045953,0.10635,0.21638,0.27889,0.21807,0.088249,0.14045,0.28339,0.14589
0.043934,0.12687,0.18352,0.058279,0.10841,0.22588,0.30114,0.23134,0.089951,0.14739,0.2932,0.15438
0.046642,0.13123,0.19287,0.069903,0.11081,0.23635,0.32288,0.24511,0.092237,0.15544,0.30307,0.16309
0.050275,0.13495,0.20116,0.079662,0.11278,0.24596,0.3414,0.25723,0.094316,0.16316,0.31086,0.17055
0.054261,0.13735,0.20714,0.086722,0.11362,0.25301,0.35454,0.26581,0.095404,0.16908,0.31492,0.17551
0.057892,0.13802,0.20988,0.090684,0.11281,0.25615,0.36094,0.26952,0.094858,0.17187,0.31421,0.17708
0.060494,0.13681,0.20883,0.091574,0.11014,0.25456,0.3601,0.26774,0.092304,0.17054,0.30842,0.1749
0.061591,0.13377,0.20395,0.089772,0.1057,0.24801,0.35236,0.26062,0.087723,0.16468,0.2978,0.1691
0.061041,0.12912,0.19563,0.085883,0.099882,0.23693,0.33875,0.24896,0.081463,0.15449,0.28307,0.1603
0.059073,0.12312,0.18464,0.080603,0.09325,0.22229,0.32083,0.23407,0.074171,0.14089,0.26532,0.14938
0.056216,0.11606,0.17203,0.074608,0.086423,0.20549,0.30044,0.21752,0.066654,0.12529,0.2458,0.13735
0.053126,0.10824,0.15892,0.068484,0.079928,0.18812,0.27935,0.20086,0.059698,0.10939,0.22587,0.12512
